INSERT INTO HARD_DRIVE VALUES( 'WD10EZEX', 'Western Digital', '44.99', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000DM003', 'Seagate', '44.89', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-75E250B/AM', 'Samsung', '79.99', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000DM001', 'Seagate', '62.98', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-75E500B/AM', 'Samsung', '147.99', 'N/A', 'SSD', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'SV300S37A/120G', 'Kingston', '45.94', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-75E120B/AM', 'Samsung', '66.33', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'WD1003FZEX', 'Western Digital', '69.99', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ST3000DM001', 'Seagate', '83.89', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'WD2003FZEX', 'Western Digital', '109.99', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-75E1T0B/AM', 'Samsung', '347.99', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'CT250BX100SSD1', 'Crucial', '85.00', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDA-120G-G25', 'Sandisk', '39.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7KE512BW', 'Samsung', '218.17', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000DX001', 'Seagate', '66.97', '64MB', 'Hybrid', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD4003FZEX', 'Western Digital', '198.00', '64MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-V5P512BW', 'Samsung', '347.99', '512MB', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'SV300S37A/240G', 'Kingston', '69.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7KE2T0BW', 'Samsung', '881.34', 'N/A', 'SSD', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPECME032T401', 'Intel', '7799.99', 'N/A', 'SSD', '3.2TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TE250BW', 'Samsung', '103.89', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7KE256BW', 'Samsung', '129.89', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDA-240G-G25', 'Sandisk', '59.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-V5P256BW', 'Samsung', '188.99', '512MB', 'SSD', '256GB');
