INSERT INTO PSU VALUES( 'SuperNOVA 850', 'EVGA', '117.99', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'SuperNOVA 1000', 'EVGA', '196.99', '1000W', '80+ Platinum');
INSERT INTO PSU VALUES( 'AX760', 'Corsair', '134.98', '760W', '80+ Platinum');
INSERT INTO PSU VALUES( 'AX750', 'Corsair', '$0', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'SuperNOVA 750', 'EVGA', '99.99', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'AX860', 'Corsair', '164.27', '860W', '80+ Platinum');
INSERT INTO PSU VALUES( 'Platinum-1000', 'SeaSonic', '189.99', '1000W', '80+ Platinum');
INSERT INTO PSU VALUES( 'AX1200i', 'Corsair', '299.99', '1200W', '80+ Platinum');
INSERT INTO PSU VALUES( 'SuperNOVA 1000', 'EVGA', '154.99', '1000W', '80+ Gold');
INSERT INTO PSU VALUES( 'SuperNOVA 650', 'EVGA', '79.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'NEX750G Gold', 'EVGA', '$0', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'AX760i', 'Corsair', '$0', '760W', '80+ Platinum');
INSERT INTO PSU VALUES( 'P1-750B-BEFX', 'XFX', '106.99', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'SuperNOVA 1300', 'EVGA', '184.99', '1300W', '80+ Gold');
INSERT INTO PSU VALUES( 'X-850', 'SeaSonic', '125.00', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'RS-650-AMAA-G1', 'Cooler Master', '59.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'SS-750KM', 'SeaSonic', '129.99', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'HX750', 'Corsair', '$0', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'HCG-620M', 'Antec', '84.99', '620W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SS-760XP2', 'SeaSonic', '147.99', '760W', '80+ Platinum');
INSERT INTO PSU VALUES( 'NEX650G Gold', 'EVGA', '$0', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'Platinum-860', 'SeaSonic', '149.99', '860W', '80+ Platinum');
INSERT INTO PSU VALUES( 'SuperNOVA 550', 'EVGA', '69.99', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'P1-850B-BEFX', 'XFX', '129.99', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'RM750', 'Corsair', '99.99', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'CX600M', 'Corsair', '48.98', '600W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SS-860XP2', 'SeaSonic', '149.99', '860W', '80+ Platinum');
INSERT INTO PSU VALUES( 'HX850', 'Corsair', '$0', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'CX500M', 'Corsair', '41.98', '500W', '80+ Bronze');
INSERT INTO PSU VALUES( 'CS550M', 'Corsair', '39.99', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'CS450M', 'Corsair', '49.99', '450W', '80+ Gold');
INSERT INTO PSU VALUES( 'SS-850AM', 'SeaSonic', '98.99', '850W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RM650', 'Corsair', '86.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'RS800-80GAD3-US', 'Cooler Master', '$0', '800W', '80+ Gold');
INSERT INTO PSU VALUES( 'SuperNOVA 550', 'EVGA', '69.99', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'AX1200', 'Corsair', '$0', '1200W', '80+ Gold');
INSERT INTO PSU VALUES( 'SSR-550RM', 'SeaSonic', '78.99', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'CX430M', 'Corsair', '24.99', '430W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SS-650KM', 'SeaSonic', '99.00', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'AX860i', 'Corsair', '197.99', '860W', '80+ Platinum');
INSERT INTO PSU VALUES( 'CX750M', 'Corsair', '77.98', '750W', '80+ Bronze');
